cell_id,city,province,stratum,lon,lat,LST_K,LST_2020_K,LST_2021_K,LST_2022_K,LST_2023_K,LST_2024_K,LST_2025_K,LST_valid_years,LST_obs_count,SUHI_strict_mean_K,Built_surface_fraction,retained_urban_core,Tair_mean,Tair_max,Precip_annual,VPD_summer,Solar_RAD,NDVI_mean,EVI_mean,FVC,LAI,PLAND_imperv,PLAND_water,PLAND_veg,ED_total,AI_imperv,Mean_Bld_Height,Bld_Volume_density,FAR,Sky_View_Factor,DEM,Slope,Aspect,TRI,Relative_elevation,rural_reference_lst_k
Shaoyang_111.331582_27.204355,Shaoyang,Hunan,Hilly,111.33158184333155,27.204355486164729,307.89007772000002,305.94864236000001,,311.30467970000001,308.13617515999999,306.04776493999998,308.01312644000001,5,16,0.87842320459424172,0,False,27.588469458705532,34.547369027706736,1276.1063766942289,0.86286021199377116,209.18041276030456,0.81462890811692745,0.58531374676937642,0.91352713613763203,1.9961107226302188,0.032368122376820206,0.032284192934942745,0.85218454277209332,0.13342146004276667,0.089019295141637367,0,0,0,1,335.93460545356822,15.76420239689241,4.6640523426578966,6.5930827960133245,55.741057043181286,307.01165451540578
Shaoyang_111.333828_27.269483,Shaoyang,Hunan,Hilly,111.3338276315007,27.269483344139854,308.41047126500001,304.88563813999997,307.34661254000002,312.66163363999999,309.19576136000001,306.99455648000003,309.37862543,6,18,1.3988167495942321,0,False,27.602145114174537,34.59108644823332,1281.6213760094386,0.85564770040059124,207.68266129625061,0.66995833547787653,0.49392731316158756,0.60054427770077989,1.6373443065883118,0.074759979652689032,0.035377486560416095,0.696785458987632,0.07708486888704745,0.11218315120623001,0.61078917980194092,0,0,1,249.90377128374135,10.737926309823052,269.65852082998043,4.7823923628736305,-6.3961197009074624,307.01165451540578
Shaoyang_111.340565_27.134736,Shaoyang,Hunan,Hilly,111.3405649958961,27.134736051675329,310.60199175500003,306.96379430000002,313.26320515999998,313.63406033000001,310.7748866,309.12740095999999,309.84860318,6,22,3.5903372395942483,0,False,27.557448545207091,34.492809027774534,1309.7206398086551,0.86754094523954028,210.56406975835785,0.7209016323849623,0.58231508189278258,0.7032953130262608,1.636802825453106,0.15493887756928224,0.032246704609133307,0.67737560171711575,0.5370850190563019,0.10104977711850043,0,0,0,1,242.58453986864498,7.1327184077317263,139.84129080296611,3.1184615605421473,-10.436397670785567,307.01165451540578
Shaoyang_111.349548_27.112278,Shaoyang,Hunan,Hilly,111.34954814896085,27.112278169527048,308.49820044500001,302.32725016999996,311.04320116999997,312.90773108000002,307.72259473999998,308.30194913000003,308.68647637999999,6,20,1.4865459295942287,0,False,27.554693420403439,34.479953269815319,1326.3822214421975,0.86993247225244741,211.03764049071941,0.72500869867706186,0.52772948548262855,0.71193241139015684,1.9431668834836349,0.041553083500254315,0.043375873651507031,0.79469029305071792,0.32828832146592024,0.12624021534569391,0,0,0,1,272.79126578151386,15.002421144282623,136.43615830010708,6.6251490167364144,18.915646489072486,307.01165451540578
Shaoyang_111.358531_27.170669,Shaoyang,Hunan,Hilly,111.35853130175622,27.170668663074672,308.841711455,304.27893958999999,308.76167282,312.28565144000004,310.86888214999999,308.35492843999998,308.50019428999997,6,22,1.8300569395942148,0,False,27.595744569200626,34.541467993297232,1310.0359583247882,0.86626707293095317,209.98366688912014,0.61494295720107883,0.52042967510653426,0.49868835139234363,1.8627971798641771,0.095082112137348795,0.030619129689875988,0.64612149607758429,0.97227702309145747,0.1698186865709739,0,0,0,1,263.57340017795877,13.032118440584506,323.71251452044959,5.752936292905332,1.4721845124658444,307.01165451540578
Shaoyang_111.358531_27.294187,Shaoyang,Hunan,Hilly,111.358531301764,27.294187014518695,311.62882193000002,308.58051776000002,311.49608881999995,315.62847499999998,314.01175153999998,309.38717048000001,310.66892798000003,6,18,4.6171674145942347,0.021699581295251846,False,27.599168763488063,34.601408633511831,1306.1200287111287,0.85414252548569636,207.24253212418341,0.5997296557479479,0.50072498528734088,0.47219171001368315,1.5952752622692734,0.2652270613105841,0.032241395606736965,0.43890637919726005,0.61392462342223331,0.16547094360217574,0.50337624549865723,0.054248955100774765,0.018082985033591587,0.9946853674445284,216.15893834468625,2.9871592104959483,223.76984243230794,1.3410675836112111,-33.003526750041431,307.01165451540578
Shaoyang_111.360777_27.114524,Shaoyang,Hunan,Hilly,111.36077708997675,27.11452395777069,312.07743705499996,303.34069310000001,314.40140582000004,317.82455284999998,310.62620272999999,314.6543393,311.61742852999998,6,17,5.0657825395941813,0.0025122312363237143,False,27.568754092868623,34.491620868635238,1334.9066128158047,0.87101486478101764,211.05668774518224,0.38350252683008296,0.29028983212987064,0.17378739906570342,1.4944066046512832,0.49508396796360959,0.039811075062930794,0.31006698651084058,0.20316852260447707,0.25833873959088094,2.699836254119873,0.0066432850435376167,0.0022144283478458724,0.99935182963484792,235.45001910081373,5.151419050173347,48.283822197975553,2.1983870574847537,-23.805756914235531,307.01165451540578
Shaoyang_111.360777_27.193127,Shaoyang,Hunan,Hilly,111.36077709005249,27.193126545098391,310.02520088,300.88142771000003,310.7748866,314.9619611,311.43798247999996,311.16454088,310.93040650999995,6,19,3.0135463645942195,0.014189569279551506,False,27.609582842351781,34.564173343604075,1302.6924860471095,0.86453070152933054,209.57171745478198,0.51558749787453795,0.42550024953296522,0.3387058096516764,1.4237544591240034,0.14867735815031469,0.057289499627788447,0.60907713184121759,1.1337498692839501,0.16722237602597065,1.1092270612716675,0.035495266318321228,0.011831755439440409,0.99652270347205552,253.79635299949743,10.994089580478018,150.41672284769703,4.7218842767549924,-14.46522975814392,307.01165451540578
Shaoyang_111.369760_27.325628,Shaoyang,Hunan,Hilly,111.36976024278074,27.325628049447882,310.99050669500002,305.34877984999997,313.14186544999995,316.40436553999996,311.48070773000001,309.1513271,310.41599450000001,6,20,3.9788521795942415,0.0073437448590993881,False,27.366316347396229,34.330819824998443,1326.4206799044118,0.83991932656666735,206.73944735674132,0.68444648919037976,0.47594046104457854,0.62894116819687274,1.6715917370195059,0.18547577664020543,0.03962085929233581,0.58331843550412865,0.58467198664183406,0.17201651384325969,2.1021492481231689,0.018359363079071045,0.0061197876930236816,0.99820137985915003,243.30628832688311,14.048508280764059,282.30893453802355,6.3585824902562287,-4.9378213482403055,307.01165451540578
Shaoyang_111.369760_27.431180,Shaoyang,Hunan,Hilly,111.3697602427919,27.431180095279025,304.98419104999999,303.78845372000001,297.99490981999998,306.29728039999998,309.29488393999998,305.31630866,307.21330976000002,6,18,-2.0274634654057877,0,False,26.455054596032944,33.238894831567563,1366.4130649340636,0.78389328554783666,204.98597185119888,0.81901423243762039,0.58786785751655779,0.92403576514315988,5.0947462384539088,0.030790312473920171,0.030585637502372264,0.707961276233945,0.014305098101533544,0.042020179670251172,0,0,0,1,431.52969208680213,26.737427603392103,264.98719777811687,12.723089589359478,-109.14090038041729,307.01165451540578
