city,stratum,cell_id,donor_cell_id,profile_level,context_distance,area_m2
Chenzhou,Hilly,Chenzhou_113.031644_25.787263,Chenzhou_113.036135_25.773788,moderate,0.36070845766276388,56150.222631034718
Chenzhou,Hilly,Chenzhou_113.049610_25.778280,Chenzhou_113.065330_25.789509,moderate,0.60163670594115393,56154.475327151406
Chenzhou,Hilly,Chenzhou_113.065330_25.789509,Chenzhou_113.045118_25.778280,moderate,0.43226519560832044,56149.159241247973
Chenzhou,Hilly,Chenzhou_113.081051_25.787263,Chenzhou_113.103509_25.820950,moderate,0.7508731090211358,56150.222631034718
Chenzhou,Hilly,Chenzhou_112.977745_25.744593,Chenzhou_112.986728_25.749085,primary,0.55487906860417424,56170.410642939765
Chenzhou,Hilly,Chenzhou_113.002448_25.776034,Chenzhou_113.000202_25.798492,primary,0.34786162947125449,56155.538285511313
Chenzhou,Hilly,Chenzhou_113.006940_25.823196,Chenzhou_113.011431_25.838916,primary,0.71834618163745512,56133.198044706834
Chenzhou,Hilly,Chenzhou_113.013677_25.769297,Chenzhou_113.042872_25.782772,primary,0.61999115627754853,56158.726642967158
Chenzhou,Hilly,Chenzhou_113.013677_25.832179,Chenzhou_113.006940_25.823196,primary,0.52143381759150165,56128.938448233632
Chenzhou,Hilly,Chenzhou_113.036135_25.818704,Chenzhou_113.038381_25.818704,primary,0.49699865854773873,56135.327325496182
Chenzhou,Hilly,Chenzhou_113.038381_25.787263,Chenzhou_112.991219_25.798492,primary,0.48738239748167761,56150.222631034718
Chenzhou,Hilly,Chenzhou_113.042872_25.771543,Chenzhou_113.047364_25.802984,primary,0.47423172779620748,56157.663943375032
Chenzhou,Hilly,Chenzhou_113.042872_25.794000,Chenzhou_113.045118_25.785017,primary,0.33388373698179102,56147.032203083327
Chenzhou,Hilly,Chenzhou_113.045118_25.800738,Chenzhou_113.038381_25.818704,primary,0.68505608306378107,56143.840998828578
Chenzhou,Hilly,Chenzhou_112.966516_25.737856,Chenzhou_113.011431_25.764805,upper,0.77124781084746241,56173.595376145233
Chenzhou,Hilly,Chenzhou_112.971007_25.740102,Chenzhou_113.004694_25.760314,upper,0.61303288590559413,56172.533884813201
Chenzhou,Hilly,Chenzhou_112.971007_25.746839,Chenzhou_112.991219_25.746839,upper,0.44003143675231826,56169.348892574999
Chenzhou,Hilly,Chenzhou_112.973253_25.742347,Chenzhou_113.002448_25.760314,upper,0.37145593854317227,56171.472307019169
Chenzhou,Hilly,Chenzhou_113.000202_25.800738,Chenzhou_113.029398_25.847899,upper,0.63283683406591185,56143.840998828578
Chenzhou,Hilly,Chenzhou_113.002448_25.782772,Chenzhou_112.991219_25.746839,upper,0.53292495636041204,56152.349151487164
Chenzhou,Hilly,Chenzhou_113.038381_25.782772,Chenzhou_113.038381_25.818704,upper,0.6675697474452118,56152.349151487164
Chenzhou,Hilly,Chenzhou_113.045118_25.798492,Chenzhou_113.038381_25.818704,upper,0.51338013711663444,56144.904819688891
Chenzhou,Hilly,Chenzhou_113.051856_25.776034,Chenzhou_113.096771_25.809721,upper,1.5276537654151572,56155.538285511313
Chenzhou,Hilly,Chenzhou_113.063085_25.785017,Chenzhou_113.036135_25.787263,upper,0.99310519340353065,56151.285934447784
Enshi,Mountainous,Enshi_109.445120_30.285577,Enshi_109.458594_30.292314,moderate,0.49884675880606144,53849.564051368674
Enshi,Mountainous,Enshi_109.451857_30.276594,Enshi_109.456349_30.278840,moderate,0.37732037281705677,53854.494133896689
Enshi,Mountainous,Enshi_109.460840_30.294560,Enshi_109.451857_30.254136,moderate,0.25210444806628857,53844.632645150705
Enshi,Mountainous,Enshi_109.467578_30.319264,Enshi_109.440628_30.278840,moderate,0.66704592867358392,53831.064453779567
Enshi,Mountainous,Enshi_109.472069_30.299052,Enshi_109.449611_30.269856,moderate,0.52945685447423796,53842.166445790463
Enshi,Mountainous,Enshi_109.481052_30.256382,Enshi_109.481052_30.249644,moderate,0.97699475837245864,53865.581978816648
