outcome,city,stratum,n_cells,within_city_neighbors,median_neighbor_distance_m,loco_r2,loco_rmse_k,mean_residual_k,observed_moran_i,loco_residual_moran_i,full_vs_heldout_shap_rank_spearman,full_vs_heldout_shap_top5_overlap
strict_suhi,Loudi,Transitional,4865,8,546.2202869277377,0.6136779189945856,1.845629545158997,-1.041193736838171,0.6821044994275887,0.4404207310930707,0.9506493506493506,4.0
strict_suhi,Nanchang,Flat,4828,8,875.5439937903742,0.797836480306823,1.8662091290272127,-0.011137912187359097,0.6914233621137118,0.4781909941437576,0.9675324675324675,5.0
strict_suhi,Pingxiang,Hilly,4964,8,749.1616337734911,0.539711550934453,2.6046824171704714,2.1434509806217346,0.8015196116761857,0.5583182007979958,0.9064935064935065,4.0
strict_suhi,Qianjiang,Flat,4962,8,543.8012305798767,0.6220127531601296,1.6524914186525448,-0.38270514512007414,0.6105363062137343,0.4804691231820175,0.9584415584415583,4.0
strict_suhi,Shangrao,Hilly,4959,8,868.1531681001117,0.7148905903679507,1.8545154943132047,-0.559536725028529,0.7071568053410496,0.5771616613767181,0.9805194805194805,4.0
strict_suhi,Shaoyang,Hilly,4856,8,668.6396762940012,0.6712420580378536,1.6806173790613492,0.21120423704797986,0.7031239462485888,0.5251480983675217,0.9688311688311689,5.0
strict_suhi,Shiyan,Mountainous,4984,8,679.6375933972304,0.6077979392133301,2.038549497366014,1.4508677470480462,0.7777951682993618,0.5421872095449449,0.9454545454545454,4.0
strict_suhi,Suizhou,Hilly,4935,8,655.5477393497852,0.6041852781054586,1.4614136155540227,-0.8466543151171352,0.6234231267599795,0.40383353607172373,0.8857142857142857,3.0
strict_suhi,Tianmen,Flat,4961,8,643.4255079866487,0.6550011822616868,1.4087467308194688,0.6382362817441668,0.6576401426718049,0.39660678278758654,0.9181818181818181,5.0
strict_suhi,Wuhan,Flat,4299,8,1021.8380257147417,0.758067570659688,2.0918498549625397,-1.1348627628476717,0.5086355513613202,0.2793386044570991,0.8506493506493505,5.0
strict_suhi,Xiangtan,Transitional,4796,8,546.1410128629877,0.829942899107252,1.491711276778045,0.012960384102811702,0.7170405550602132,0.37180891045842956,0.9779220779220777,5.0
strict_suhi,Xiangxi,Mountainous,4985,8,545.717699338843,0.4915998257620306,2.0467258243230875,0.8113612049090563,0.6458119260436552,0.5382800568309142,0.9584415584415583,5.0
strict_suhi,Xiangyang,Transitional,4891,8,749.1615769845782,0.347587671918105,2.851241731860491,-2.205580631413888,0.6495719408460836,0.5639209113865974,0.8597402597402597,3.0
strict_suhi,Xianning,Hilly,4816,8,660.8287092532134,0.7514825412381667,1.4317780981946095,0.505400653888576,0.7673741426057913,0.5719646224874058,0.92987012987013,5.0
strict_suhi,Xiantao,Flat,4948,8,645.8639826894877,0.7188670019479895,1.5137085073854188,0.3799817538747804,0.635160342766855,0.4942630582406323,0.9675324675324675,5.0
strict_suhi,Xiaogan,Transitional,4861,8,642.8984797326659,0.8295780020355519,1.249824248769638,-0.07528848747915025,0.6746606941554776,0.3669871127192132,0.9818181818181818,5.0
strict_suhi,Xinyu,Transitional,4914,8,666.537027175653,0.8002599537048161,1.5905026454178055,-0.26845531738497264,0.7256966772749962,0.37474557560576044,0.9532467532467532,5.0
strict_suhi,Yichang,Mountainous,4905,8,690.3682243524017,0.7652967428538319,1.8455378134915092,0.4845443010640119,0.7471405056570639,0.6228254347333084,0.9402597402597404,4.0
strict_suhi,Yichun,Hilly,4963,8,663.4216391169928,0.7723261690200353,1.7555980995131708,1.009076769239192,0.7765189656325446,0.4095387582028951,0.974025974025974,4.0
strict_suhi,Yingtan,Hilly,4969,8,665.8980512415075,0.7098452246664402,1.6962695065838385,-0.03216794213217851,0.6474741424689461,0.49942205920612825,0.9675324675324675,5.0
strict_suhi,Yiyang,Transitional,4888,8,664.737441363558,0.4893836569077979,2.083206587405549,-0.28758635914023845,0.6250142180933276,0.5875084605296629,0.9558441558441559,4.0
strict_suhi,Yongzhou,Hilly,4966,8,547.2143331344927,-0.0862861165750301,2.8201524308199977,-2.3544242446859216,0.6351412910810312,0.4924864313382282,0.851948051948052,4.0
strict_suhi,Yueyang,Flat,3814,8,662.8618321647184,0.7429993724913924,1.72089082981703,-0.5562881140767888,0.6728375929138105,0.5528203317854575,0.9766233766233766,5.0
strict_suhi,Zhangjiajie,Mountainous,4975,8,544.9525430378703,0.8097540966873598,1.6175459824859038,0.23252561729908916,0.8324223376013152,0.6416831542982039,0.9870129870129869,4.0
strict_suhi,Zhuzhou,Transitional,4945,8,545.9523013108269,0.7666894714089467,1.3861348659646118,-0.16708081648420803,0.6384485850606504,0.40845559303730866,0.9714285714285713,4.0
