model,quantity_basis,budget_fraction,stratum,n_cities,uniform_eligible_core_cooling_k,uniform_eligible_core_cooling_k_ci_low,uniform_eligible_core_cooling_k_ci_high,priority_eligible_core_cooling_k,priority_eligible_core_cooling_k_ci_low,priority_eligible_core_cooling_k_ci_high,difference_k,difference_k_ci_low,difference_k_ci_high,relative_difference_pct,relative_difference_pct_ci_low,relative_difference_pct_ci_high
cooling_lst_loco_k,ndvi_uplift,0.25,Mountainous,7,0.41295778105281805,0.34746342371578576,0.4871752902020698,0.38925749747360217,0.33503589133831163,0.45064794891940163,-0.02370028357921578,-0.04208192058655713,-0.006777795262834831,-5.070698374846096,-8.565888180166176,-1.1994791182625395
cooling_lst_loco_k,ndvi_uplift,0.25,Transitional,12,0.42667132736089664,0.39391605821129144,0.4594698546263719,0.3874215859263958,0.3599634422973795,0.4151395646257535,-0.039249741434500836,-0.054745930069639744,-0.024848594598679316,-8.917602445094282,-11.962755808218901,-5.966856164736617
cooling_lst_loco_k,ndvi_uplift,0.5,Flat,8,0.907661843830263,0.845524915884428,0.9732993764440029,0.8718812109820915,0.8042438276548358,0.938029874592212,-0.03578063284817163,-0.06271845217908176,-0.00877323096440145,-3.9385487253108185,-7.036940426442093,-0.9340400396772341
cooling_lst_loco_k,ndvi_uplift,0.5,Hilly,14,0.906622625666843,0.8435215373781267,0.9645338117646979,0.8600612393096388,0.8008338185672846,0.9237169779425027,-0.046561386357204006,-0.07037682393591461,-0.021116011538155177,-5.020047442557827,-7.669821867890452,-2.2211014959672744
cooling_lst_loco_k,ndvi_uplift,0.5,Mountainous,7,0.8259155621056361,0.6949268474315715,0.9748627576951827,0.80941502996259,0.6795264023906477,0.9557369007254215,-0.016500532143046108,-0.038778146512931336,0.004961586202769696,-1.9051412394281713,-4.645230406321807,0.8604459539469247
cooling_lst_loco_k,ndvi_uplift,0.5,Transitional,12,0.8533426547217933,0.7867231696035736,0.921474769579068,0.8151860999394539,0.7524956036288445,0.8775135426834244,-0.03815655478233943,-0.059872502143203776,-0.0166899835162251,-4.3417021981831505,-6.808514090656526,-1.9308894743878207
cooling_lst_loco_k,vegetation_cover,0.25,Flat,8,0.4538309219151315,0.4232403218422782,0.48779876744325656,0.5022889692642765,0.4513342318153011,0.5611869555463391,0.0484580473491449,0.018485971845281265,0.08651838082041888,10.370543094592254,4.050707110631979,17.971104067706555
cooling_lst_loco_k,vegetation_cover,0.25,Hilly,14,0.4533113128334215,0.42249666346952486,0.4818074928916122,0.48489939249820174,0.45000308811869316,0.5252956113211205,0.0315880796647803,0.008895236815500683,0.05589598479239989,7.225216206390836,2.1091815385231967,12.558189933434479
cooling_lst_loco_k,vegetation_cover,0.25,Mountainous,7,0.41295778105281805,0.3476421849007748,0.48764480563899365,0.47853592952611973,0.4027151380834928,0.5633437770462523,0.06557814847330175,0.04920596170952485,0.08491324982820728,16.14981966524693,12.34803593318635,20.896409262583564
cooling_lst_loco_k,vegetation_cover,0.25,Transitional,12,0.42667132736089664,0.393332784329227,0.460152448718731,0.46062068220184943,0.42954367000063,0.49310422200055215,0.03394935484095272,0.01772744416626764,0.05221235680741636,8.513391661088711,4.19054907587467,13.567701116674113
cooling_lst_loco_k,vegetation_cover,0.5,Flat,8,0.907661843830263,0.8459072239106806,0.9742960334404737,0.9920606596214198,0.8933834692422855,1.0944723513772012,0.0843988157911568,0.03738227455160586,0.13610185929105414,8.958066381653131,4.1232675473414595,14.073380873362627
cooling_lst_loco_k,vegetation_cover,0.5,Hilly,14,0.906622625666843,0.846220793726957,0.9639497878944903,0.9789573988587447,0.915380353799591,1.0469497150669342,0.07233477319190193,0.04316915355168317,0.10114580419258998,8.18929996385558,4.790621625996557,11.60794557694019
cooling_lst_loco_k,vegetation_cover,0.5,Mountainous,7,0.8259155621056361,0.6953212072778789,0.9767786014698829,0.9358838932871103,0.7879167099052965,1.1037178295111734,0.10996833118147417,0.07823537226034569,0.15021940902158848,13.450801168003014,10.053188198374592,18.164478085850014
cooling_lst_loco_k,vegetation_cover,0.5,Transitional,12,0.8533426547217933,0.7876229737203394,0.9212429131495942,0.9170675300978348,0.8514487593036764,0.9869896487749431,0.06372487537604142,0.03689660009727469,0.08882274685672349,7.763675249892213,4.39681188879755,11.204291177705109
cooling_no_far22_loco_k,ndvi_uplift,0.25,Flat,8,0.4455580387979276,0.4152737484052804,0.4777643434820563,0.4057494737871037,0.3850544750601228,0.42470641789953817,-0.03980856501082394,-0.05887863588197062,-0.020156839043517484,-8.544872255308468,-12.146771671453365,-4.421114576584591
cooling_no_far22_loco_k,ndvi_uplift,0.25,Hilly,14,0.45235442446890184,0.4257017800228424,0.47867116011646443,0.41998450143686045,0.39131130467062963,0.45544492105890877,-0.03236992303204139,-0.04799963016794229,-0.01587672514887918,-7.20586894289327,-10.602426754235593,-3.7142091851924675
cooling_no_far22_loco_k,ndvi_uplift,0.25,Mountainous,7,0.42214767952630117,0.35402926206882274,0.49766523331764173,0.3962737108422676,0.3427211045919387,0.45597670716936,-0.025873968684033626,-0.045512938689986106,-0.008148949260251045,-5.278055021318399,-8.559019269055131,-1.6069450401337835
cooling_no_far22_loco_k,ndvi_uplift,0.25,Transitional,12,0.41490873049610427,0.3841914517924396,0.4471658607799088,0.37779455679372137,0.353626982071692,0.40314550510584407,-0.03711417370238283,-0.05415595194927615,-0.021904776166156683,-8.562757494589846,-12.037740368027576,-5.253698110272839
cooling_no_far22_loco_k,ndvi_uplift,0.5,Flat,8,0.8911160775958552,0.8313080262180172,0.9548765464413544,0.8584794073482859,0.7982982704720067,0.9221316473938562,-0.03263667024756942,-0.05472025494784217,-0.009806059516863464,-3.6240680670973786,-6.112175352626102,-1.0046923861140538
cooling_no_far22_loco_k,ndvi_uplift,0.5,Hilly,14,0.9047088489378037,0.8509001716617697,0.9586700199235176,0.8664426436334899,0.8155676332180729,0.9276694621782863,-0.03826620530431387,-0.0567886710225977,-0.017869738817863193,-4.192346223360873,-6.248970389113059,-1.9157740764572608
cooling_no_far22_loco_k,ndvi_uplift,0.5,Mountainous,7,0.8442953590526023,0.7080585241376455,0.9975486496387581,0.8254671954086233,0.6967502677685228,0.972029314118885,-0.01882816364397911,-0.04165081348522324,0.0023397982171329385,-1.9699489918135418,-4.506781967326077,0.5182443931120885
cooling_no_far22_loco_k,ndvi_uplift,0.5,Transitional,12,0.8298174609922085,0.7680898669076169,0.8919219614971114,0.7955020513950034,0.741880063162189,0.8511766002262544,-0.03431540959720501,-0.05525642913989467,-0.014017334430153409,-3.9187756562952494,-6.318599975886787,-1.5561781773830694
cooling_no_far22_loco_k,vegetation_cover,0.25,Flat,8,0.4455580387979276,0.41565953401344896,0.4779917339819474,0.4931331887654269,0.44658143212638673,0.5493215823248235,0.047575149967499245,0.02113789601518691,0.08245775154664839,10.422052482743453,4.791041831386929,17.528788496391606
cooling_no_far22_loco_k,vegetation_cover,0.25,Hilly,14,0.45235442446890184,0.42557633401761663,0.4787647848763261,0.48932398909340735,0.4554054738830817,0.5302457443199649,0.03696956462450557,0.015288242967789639,0.061100653716440585,8.213987498157627,3.381406052474702,13.360736960915009
cooling_no_far22_loco_k,vegetation_cover,0.25,Mountainous,7,0.42214767952630117,0.35452857772187946,0.4992736404724358,0.48759227193428506,0.4143984785675414,0.5712895333609099,0.06544459240798381,0.051847298630955045,0.08111070251086505,15.964210944164131,12.364639311196608,20.07605329881717
cooling_no_far22_loco_k,vegetation_cover,0.25,Transitional,12,0.41490873049610427,0.3846843426630137,0.4467962532984214,0.4496855289687209,0.42408115058836554,0.47830746075923225,0.034776798472616686,0.01796431681173009,0.0520934851618125,9.059693311886882,4.469303242478014,14.072721324185729
cooling_no_far22_loco_k,vegetation_cover,0.5,Flat,8,0.8911160775958552,0.8316479219225852,0.9547262765557853,0.977279414504285,0.8849640327623438,1.0769820165894683,0.08616333690842977,0.04364349515500346,0.1358453789978358,9.345677496709515,4.9467554468989965,14.293677920650502
cooling_no_far22_loco_k,vegetation_cover,0.5,Hilly,14,0.9047088489378037,0.8518469427403688,0.9567812608477274,0.9853763684181601,0.9260863431823709,1.0527614179249458,0.08066751948035626,0.054858005118774394,0.10748999370293989,8.982379882751273,6.126049807499334,11.93941857454084
cooling_no_far22_loco_k,vegetation_cover,0.5,Mountainous,7,0.8442953590526023,0.7092885412978236,1.0028879016624992,0.9536798248892383,0.8046986141001523,1.127556376077801,0.10938446583663601,0.07883032148461193,0.14745746840615867,13.11350899166753,9.812017793004745,17.55179483860125
