city,year,stratum,cells,valid_pct,mean_c
Tianmen,2022,Flat,24927,99.81580106515037,37.17231563139728
Tianmen,2023,Flat,24927,99.81580106515037,38.711309543022026
Tianmen,2024,Flat,24927,99.81580106515037,37.84516631313039
Tianmen,2025,Flat,24927,99.81580106515037,37.560970435015065
Wuhan,2020,Flat,71150,99.0436683046341,40.813472812163866
Wuhan,2021,Flat,57306,79.77226220471346,41.134114787077294
Wuhan,2022,Flat,71683,99.78562579172294,41.205777305728816
Wuhan,2023,Flat,71660,99.75360886451273,40.94374409699219
Wuhan,2024,Flat,71696,99.80372231579825,41.77800282148934
Wuhan,2025,Flat,71692,99.79815415454432,42.61180409740001
Xiangtan,2020,Transitional,50905,98.8465795452339,42.134133841875666
Xiangtan,2021,Transitional,50701,98.45045534864755,41.33082467862408
Xiangtan,2022,Transitional,51271,99.55727295675644,42.70464211211129
Xiangtan,2023,Transitional,51162,99.34561836152159,38.47027153537698
Xiangtan,2024,Transitional,51287,99.5883415211946,40.504487176472765
Xiangtan,2025,Transitional,51302,99.61746830035536,40.23640618583062
Xiangxi,2020,Mountainous,17828,79.68177348708322,32.289947021042735
Xiangxi,2021,Mountainous,18528,82.81040493429875,32.155082766593296
Xiangxi,2022,Mountainous,22330,99.80334316617503,35.006501587669504
Xiangxi,2023,Mountainous,22108,98.8111200500581,35.440780941728804
Xiangxi,2024,Mountainous,22325,99.78099579869492,34.62333285466872
Xiangxi,2025,Mountainous,22289,99.62009475283811,37.88415182825207
Xiangyang,2020,Transitional,36696,99.84219404690646,37.51772129673486
Xiangyang,2021,Transitional,36694,99.83675246231702,39.15740967002915
Xiangyang,2022,Transitional,36713,99.88844751591664,37.76386798735649
Xiangyang,2023,Transitional,36708,99.87484355444305,38.29711507784242
Xiangyang,2024,Transitional,36697,99.84491483920117,36.94338098876699
Xiangyang,2025,Transitional,36706,99.86940196985363,41.20595451607153
Xianning,2020,Hilly,28129,99.86863594404602,35.887247568746886
Xianning,2021,Hilly,28124,99.85088404459277,39.75428808477926
Xianning,2022,Hilly,28133,99.88283746360861,40.17070098741692
Xianning,2023,Hilly,28133,99.88283746360861,37.92764568246264
Xianning,2024,Hilly,28133,99.88283746360861,40.38684516140262
Xianning,2025,Hilly,28133,99.88283746360861,40.76244398379953
Xiantao,2020,Flat,25175,99.86512753381729,36.21904594526791
Xiantao,2021,Flat,15664,62.136538537823796,38.250857336312606
Xiantao,2022,Flat,25175,99.86512753381729,38.82968590319689
Xiantao,2023,Flat,25175,99.86512753381729,39.99713483527188
Xiantao,2024,Flat,25175,99.86512753381729,38.25445126254618
Xiantao,2025,Flat,25175,99.86512753381729,39.36787911828719
Xiaogan,2020,Transitional,25090,96.61147477859068,39.13914670262022
Xiaogan,2021,Transitional,18493,71.20908740854833,37.87977167645164
Xiaogan,2022,Transitional,25929,99.84212552945706,38.0028960949046
Xiaogan,2023,Transitional,25929,99.84212552945706,40.592652297854954
Xiaogan,2024,Transitional,25929,99.84212552945706,39.01806939011459
Xiaogan,2025,Transitional,25929,99.84212552945706,39.669136025328044
Xinyu,2020,Transitional,20095,71.45905195405568,38.44317428049112
Xinyu,2021,Transitional,28074,99.83286511859465,38.472730515287424
Xinyu,2022,Transitional,28077,99.84353330251413,41.28285246833531
Xinyu,2023,Transitional,28077,99.84353330251413,35.62997286767177
Xinyu,2024,Transitional,28077,99.84353330251413,40.50941353626246
Xinyu,2025,Transitional,28075,99.83642117990115,40.94200098840929
Yichang,2020,Mountainous,33692,99.86069533773971,36.59159978738427
Yichang,2021,Mountainous,29367,87.04170248080855,35.90472854975184
Yichang,2022,Mountainous,33701,99.88737069859806,35.699167630855186
Yichang,2023,Mountainous,33668,99.78956104211744,35.209880142670215
Yichang,2024,Mountainous,33701,99.88737069859806,39.428920365387114
Yichang,2025,Mountainous,33421,99.05747058300484,37.78913406371595
Yichun,2020,Hilly,23759,87.82390123091709,37.3388556982116
Yichun,2021,Hilly,26387,97.53816582264444,38.41593109170958
Yichun,2022,Hilly,27013,99.85214209145012,40.36538988446199
Yichun,2023,Hilly,26693,98.66927882305104,37.6948220704308
Yichun,2024,Hilly,26973,99.70428418290024,39.427313419516224
Yichun,2025,Hilly,27013,99.85214209145012,39.3798608266394
Yingtan,2020,Hilly,31711,99.8582944955284,37.38448993792531
Yingtan,2021,Hilly,31646,99.65360876684721,37.3770365147829
Yingtan,2022,Hilly,31711,99.8582944955284,43.480640598174205
Yingtan,2023,Hilly,31705,99.83940042826552,41.14417125060049
Yingtan,2024,Hilly,31711,99.8582944955284,41.245260907502825
Yingtan,2025,Hilly,31711,99.8582944955284,39.74830541370284
Yiyang,2020,Transitional,19811,66.97430696416498,34.110052145362715
Yiyang,2021,Transitional,26077,88.15753887762001,37.716887005181604
Yiyang,2022,Transitional,29539,99.86139283299526,39.42757168531301
Yiyang,2023,Transitional,28654,96.86950642325895,37.68544313333467
Yiyang,2024,Transitional,29458,99.58755916159568,37.49735423790486
Yiyang,2025,Transitional,29539,99.86139283299526,40.670206226847256
Yongzhou,2020,Hilly,21169,96.43312682215743,40.28654797191649
Yongzhou,2021,Hilly,21923,99.86789358600583,40.02040848172334
Yongzhou,2022,Hilly,21925,99.87700437317784,42.010730694174754
Yongzhou,2023,Hilly,21912,99.81778425655978,40.2200940174165
Yongzhou,2024,Hilly,21925,99.87700437317784,36.23222148324237
Yongzhou,2025,Hilly,21925,99.87700437317784,38.32594767920551
Yueyang,2020,Flat,30756,99.87984282142045,36.79819029776826
Yueyang,2021,Flat,27126,88.09144935537297,36.161362851250885
Yueyang,2022,Flat,30756,99.87984282142045,37.141312563004306
Yueyang,2023,Flat,30756,99.87984282142045,37.78696027106906
Yueyang,2024,Flat,30756,99.87984282142045,35.951218255554124
Yueyang,2025,Flat,30756,99.87984282142045,38.74550956204354
