parameter,estimate,city_jackknife_se,ci_low,ci_high,city_deletion_min,city_deletion_max,n_cities,model_assumption_se,ols_same_sample_coefficient,outcome,k
Relative_elevation,-0.11286269550238869,0.044747036350022855,-0.20329982945856012,-0.022425561546217262,-0.12694061820535113,-0.09616043212419634,41.0,0.016073719840882426,0.11264820261649848,absolute_lst,8
rho,0.42088678938932395,0.017365647211229848,0.38578950717396654,0.45598407160468135,0.41302545876944374,0.42693616599542034,41.0,0.007038601793475426,,absolute_lst,8
Intercept,0.9573124386880729,0.06253726353144781,0.8309199143875658,1.08370496298858,0.9367502563309255,0.9818773023565177,41.0,0.018140917047037908,1.6932232469544652,strict_suhi,8
Precip_annual,0.08712931841358719,0.09794806960760571,-0.1108311145983505,0.2850897514255249,0.04784426444850926,0.1568224022931921,41.0,0.01500878458711065,0.15823471026007382,strict_suhi,8
VPD_summer,0.002550097988214317,0.11979435940311747,-0.23956333369893126,0.2446635296753599,-0.07643712247900905,0.04250328170305748,41.0,0.02353921651014125,0.1517925994210581,strict_suhi,8
Solar_RAD,-0.3067654317189558,0.1581867277281904,-0.6264727342034804,0.012941870765568686,-0.3819164380270984,-0.2301419402183174,41.0,0.026067559004704928,-0.563180360283894,strict_suhi,8
EVI_mean,-1.153497914519178,0.07424300332744907,-1.303548621446712,-1.0034472075916439,-1.183071365386253,-1.114112744588981,41.0,0.02736226033217215,-1.3058185738947947,strict_suhi,8
LAI,-0.2498484958884579,0.08284927615974844,-0.4172931290396137,-0.08240386273730213,-0.3208226731484501,-0.2354372086116531,41.0,0.021350011397873927,-0.4408399297081228,strict_suhi,8
PLAND_imperv,0.39163012704758327,0.04180071215177748,0.3071477364203494,0.4761125176748171,0.379781329754353,0.40740935691464986,41.0,0.024419664097401633,0.24910668014070467,strict_suhi,8
PLAND_water,-1.5114686693898385,0.07085778600958231,-1.6546775969053935,-1.3682597418742835,-1.5305694814436843,-1.4824566582084018,41.0,0.02383138889344688,-1.6379932929894254,strict_suhi,8
ED_total,-0.003407751635004931,0.019978398972889527,-0.04378560213683207,0.03697009886682221,-0.010639871946826359,0.003252784716581046,41.0,0.015656223978406842,-0.02185002272713624,strict_suhi,8
AI_imperv,0.5666961593390988,0.06403054076113385,0.43728560917876846,0.6961067094994291,0.5440793524039106,0.5992729141510835,41.0,0.027867944116011168,1.1405998393215073,strict_suhi,8
Sky_View_Factor,-0.3584851568407371,0.041536859831432967,-0.4424342820366475,-0.27453603164482676,-0.3742371076050093,-0.34065768251946743,41.0,0.01920206834761133,-0.37203796572999437,strict_suhi,8
DEM,-0.08436578029607211,0.1274124735928171,-0.3418759950925626,0.1731444345004184,-0.12382759987354103,0.012279151927145238,41.0,0.0248559885655585,-0.2871420424895866,strict_suhi,8
Aspect,0.022108288967828054,0.014148252198123936,-0.0064863953656468624,0.05070297330130297,0.01681558466463217,0.027476153972896166,41.0,0.013850229691552614,0.029826905203251212,strict_suhi,8
TRI,-0.0650256942979163,0.07478168925889234,-0.21616512610459454,0.08611373750876194,-0.10864313647733674,-0.04820789877815017,41.0,0.02366494360992003,0.038660622055589594,strict_suhi,8
Relative_elevation,-0.3499609853894514,0.07874774906987264,-0.5091161230765847,-0.19080584770231815,-0.4203931784998851,-0.33314277678739146,41.0,0.015764271481018586,-0.29400448760652775,strict_suhi,8
rho,0.43327846850666724,0.023106811670875724,0.38657786009021855,0.4799790769231159,0.42028210363367074,0.43913908697778253,41.0,0.00696622100528884,,strict_suhi,8
Intercept,202.4240526013717,,,,,,,1.990861822814546,,absolute_lst,4
Precip_annual,0.21343035345190117,,,,,,,0.015209441310229369,,absolute_lst,4
VPD_summer,0.29547945401190506,,,,,,,0.024012376283530267,,absolute_lst,4
Solar_RAD,-0.14234447153613966,,,,,,,0.025952805539539128,,absolute_lst,4
EVI_mean,-1.1439141123356584,,,,,,,0.02753204094410752,,absolute_lst,4
LAI,-0.3641548454242952,,,,,,,0.021531152482118995,,absolute_lst,4
PLAND_imperv,0.38178387378900125,,,,,,,0.024583079792272935,,absolute_lst,4
PLAND_water,-1.4538173390524276,,,,,,,0.02399981498670308,,absolute_lst,4
ED_total,-0.009829558205131254,,,,,,,0.015766013079544512,,absolute_lst,4
AI_imperv,0.5676329470589074,,,,,,,0.02778405077374897,,absolute_lst,4
Sky_View_Factor,-0.3870213395635985,,,,,,,0.019343891116693893,,absolute_lst,4
DEM,-0.7482581992518254,,,,,,,0.026378255082903576,,absolute_lst,4
Aspect,0.011265452977044187,,,,,,,0.013946052629322945,,absolute_lst,4
TRI,-0.13867431755509627,,,,,,,0.02380721489324573,,absolute_lst,4
Relative_elevation,-0.04054817549996438,,,,,,,0.016046849141165564,,absolute_lst,4
rho,0.34965255952160645,,,,,,,0.006396045208410917,,absolute_lst,4
Intercept,1.082861013703325,,,,,,,0.017553487769353796,,strict_suhi,4
Precip_annual,0.10091711732320476,,,,,,,0.015148937653358691,,strict_suhi,4
VPD_summer,0.03370259165853361,,,,,,,0.023749744386312704,,strict_suhi,4
Solar_RAD,-0.34957790397737076,,,,,,,0.02626581389107796,,strict_suhi,4
EVI_mean,-1.1580481232162074,,,,,,,0.027629804505617323,,strict_suhi,4
LAI,-0.2700999410665269,,,,,,,0.021510254912148478,,strict_suhi,4
PLAND_imperv,0.39737849158621824,,,,,,,0.02466006654247061,,strict_suhi,4
PLAND_water,-1.5016660735501293,,,,,,,0.024096973316178105,,strict_suhi,4
ED_total,-0.0010923154193205852,,,,,,,0.015815524293497474,,strict_suhi,4
AI_imperv,0.598292113975288,,,,,,,0.02794214814738642,,strict_suhi,4
Sky_View_Factor,-0.3536572924865622,,,,,,,0.01940183112189614,,strict_suhi,4
DEM,-0.12622503951493028,,,,,,,0.025082160134594297,,strict_suhi,4
Aspect,0.024592518773932995,,,,,,,0.013990365815896737,,strict_suhi,4
TRI,-0.04433961270663754,,,,,,,0.023896820382960128,,strict_suhi,4
Relative_elevation,-0.3053846566957622,,,,,,,0.0158927968631001,,strict_suhi,4
rho,0.36143375754052265,,,,,,,0.0063305061135108,,strict_suhi,4
Intercept,172.38887933670398,,,,,,,2.3249838536106546,,absolute_lst,12
Precip_annual,0.1828118680285627,,,,,,,0.015158272170354,,absolute_lst,12
VPD_summer,0.2103531016598636,,,,,,,0.02404690616137283,,absolute_lst,12
Solar_RAD,-0.1234410094236639,,,,,,,0.025780164093451664,,absolute_lst,12
EVI_mean,-1.1549867973352639,,,,,,,0.027328923787219093,,absolute_lst,12
LAI,-0.33160476641550946,,,,,,,0.02146042537952786,,absolute_lst,12
PLAND_imperv,0.36091044439430325,,,,,,,0.024404007037395113,,absolute_lst,12
PLAND_water,-1.4881713732807922,,,,,,,0.023780076715340753,,absolute_lst,12
ED_total,-0.015066828529964237,,,,,,,0.015655129490788594,,absolute_lst,12
AI_imperv,0.5664558387105552,,,,,,,0.027774694176171406,,absolute_lst,12
Sky_View_Factor,-0.3869741552644831,,,,,,,0.01919979472994269,,absolute_lst,12
DEM,-0.6049778535597772,,,,,,,0.02669430019534635,,absolute_lst,12
