city,province,stratum,unique_roi_cells,unique_roi_lst_mean_c,unique_roi_dem_mean_m,unique_roi_slope_mean_deg,full_roi_total_cells,full_roi_quality_valid_cells,urban_cells,strict_rural_cells,broad_rural_cells,conservative_rural_cells,urban_mean_lst_k,urban_median_lst_k,urban_mean_dem_m,strict_rural_mean_dem_m,elevation_match_abs_dem_median_m,elevation_match_abs_dem_q95_m,elevation_match_rural_bands,rural_strict_mean_lst_k,city_suhi_strict_mean_k,rural_strict_median_lst_k,city_suhi_strict_median_k,rural_broad_mean_lst_k,city_suhi_broad_mean_k,rural_conservative_mean_lst_k,city_suhi_conservative_mean_k,rural_elevation_matched_lst_k,city_suhi_elevation_matched_k,annual_average_max_error_k,valid_six_year_cells,valid_five_year_cells,valid_four_year_cells,clear_observations_median,clear_observations_q25,clear_observations_q75,full_roi_lst_mean_c
Shaoyang,Hunan,Hilly,31115,36.32180222515677,307.7482613288889,10.271143146514245,31223,31115,1828,7667,12417,5422,315.20851337225656,315.69455672,241.73604146963496,423.4069962087501,6.117471244013501,12.138866786416113,5,307.0116545154058,8.196858856850781,307.3625633,7.845950072256585,307.545989412744,7.662523959512555,306.3346004672228,8.873912905033762,308.66630935211685,6.542204020139707,0.0,28225,2793,97,18.0,16.0,19.0,36.32180222515677
Shiyan,Hubei,Mountainous,36581,34.29148975792333,430.0719734520884,23.565369660797483,36636,36581,2635,11342,20754,9921,313.7474449173355,313.633205825,279.7526418484786,522.9758858737282,6.312306418959963,11.89496105521406,14,306.1260167062493,7.621428211086197,306.2396013125,7.5078436048355,306.2224796451403,7.524965272195175,305.81318591905125,7.9342589982842355,308.10117605133854,5.646268865996944,0.0,31721,4854,6,45.0,37.0,56.0,34.29148975792333
Suizhou,Hubei,Hilly,28646,36.88794767480511,97.67332579626031,6.373334767319268,28712,28646,1364,7086,12418,3182,315.6959253479985,316.1364782225,74.71245898734034,112.55282082224556,5.874208595126547,11.861212792875037,4,308.9545730427837,6.741352305214832,308.9500911725,6.745834175498544,309.1055147918469,6.590410556151653,308.57968656456444,7.116238783434085,309.4982121731573,6.197713174841226,0.0,27559,1087,0,44.0,42.0,47.0,36.88794767480511
Tianmen,Hubei,Flat,24372,37.177818484801605,31.838847920527883,3.1719944397615376,24973,24927,901,5900,9833,1737,316.3132666449811,316.851442556,30.88353316869055,34.05373742672162,5.869961931987088,9.455649100725374,2,309.33851722466915,6.97474942031198,309.07954868,7.2337179649811105,309.2132817106107,7.099984934370411,309.3812296778808,6.932036967100316,309.4599352812629,6.853331363718212,0.0,22627,2300,0,40.0,37.0,44.0,37.17557151929765
Wuhan,Hubei,Flat,71630,41.4153955283665,28.92308697331763,3.487267055851645,71837,71666,14453,5092,8709,1259,317.96220377334186,318.943669565,29.81535283098989,34.58195935235883,4.457119769194037,11.47884811391144,5,312.5045119079079,5.457691865433958,312.323762363,5.638441410341841,312.6439109734345,5.31829279990734,311.80383887493366,6.158364898408195,312.55043896667786,5.411764806663996,0.0,57066,14290,310,27.0,24.0,50.0,41.41333674638776
Xiangtan,Hunan,Transitional,22728,41.16821876067581,65.21006417137025,6.278629597890888,51499,51257,2859,7536,13736,3431,320.5654235558111,320.93295720500004,57.315346289250456,90.73442609844582,6.281577227939295,11.868034185018388,5,311.5622338719435,9.003189683867618,311.50620046250003,9.05922309331106,311.5991251005006,8.966298455310493,310.9373746483538,9.628048907457298,312.2650762134427,8.300347342368411,0.0,50266,909,82,26.0,24.0,28.0,40.89586651307951
Xiangxi,Hunan,Mountainous,22325,34.76631948498135,391.5353730129954,25.007654606810107,22374,22325,538,9181,15588,8272,315.1810864655725,316.111839995,243.18714134561228,464.0426617311363,5.514307878993151,11.830210710192992,10,306.68296396965314,8.498122495919347,306.65275448,8.528331985572493,306.95882786336443,8.222258602208058,306.5407534084624,8.640333057110126,307.62178728812853,7.559299177443961,0.0,14737,6619,969,29.0,24.0,33.0,34.76631948498135
Xiangyang,Hubei,Transitional,36710,38.48061108020107,92.8621205084286,4.175396849433662,36754,36710,3720,8781,15096,4671,315.1229638081032,316.058860685,73.29195065417488,105.61479071499107,5.51851179803365,11.270076249479894,5,310.4284134357506,4.69455037235258,310.60740362,4.515560188103223,310.7558412481048,4.36712255999845,310.58512947421644,4.537834333886735,310.124755924875,4.99820788322819,0.0,36665,35,10,41.0,25.0,47.0,38.48061108020107
Xianning,Hubei,Hilly,28133,39.14836437739558,76.15129579437249,8.089538007419451,28166,28133,1329,7405,12644,4896,319.6723888999909,319.99556521999995,45.22523091268236,117.76516883447228,5.896434355380691,11.754925810125853,7,311.0924617080894,8.579927191901561,311.3445566,8.327832299990973,311.2836131330937,8.388775766897254,310.62001152479166,9.052377375199285,312.23662260201723,7.435766297973714,0.0,28120,13,0,56.0,32.0,72.0,39.14836437739558
Xiantao,Hubei,Flat,25175,38.4741608368833,27.148279508676787,2.911597384482587,25209,25175,1334,4039,6696,667,317.1161082060233,317.7711462875,30.93088486256948,26.769382635832915,5.513979027394708,12.343555077366464,1,310.526660323379,6.589447882644265,310.067071625,7.0490365810233016,310.56098939943007,6.555118806593214,311.74249116583206,5.37361704019122,310.5266603233791,6.589447882644208,0.0,15664,9511,0,27.0,25.0,30.0,38.4741608368833
