scheme,mode,category,mountainous_minus_flat_share,ci_low,ci_high,bootstrap_fraction_positive,aggregation
no_far22,full_fit,Urban3D,-0.023064646540529594,-0.031651610337133707,-0.012276040277865915,0.0,sum_abs_member_shap
no_far22,heldout_city,Climate,0.11615940627778382,0.06534665216915472,0.1671254723260953,1.0,sum_abs_member_shap
no_far22,heldout_city,Surface,-0.10017085863987624,-0.1405794163693728,-0.05967293076651774,0.0,sum_abs_member_shap
no_far22,heldout_city,Topography,0.1089541631529009,0.05301973828754467,0.1805374450990598,1.0,sum_abs_member_shap
no_far22,heldout_city,Urban2D,-0.10024063221821974,-0.13784912356591547,-0.05642988813872273,0.0,sum_abs_member_shap
no_far22,heldout_city,Urban3D,-0.024702078572588604,-0.03331825975443287,-0.014075526186907538,0.0,sum_abs_member_shap
representative18,full_fit,Climate,0.0962782067953318,0.04543200593771459,0.13470121628270026,0.9995,sum_abs_member_shap
representative18,full_fit,Surface,-0.08363307160156874,-0.12409433144613072,-0.04102285239524935,0.0,sum_abs_member_shap
representative18,full_fit,Topography,0.1096790792532961,0.05927639262323931,0.16334767321559746,1.0,sum_abs_member_shap
representative18,full_fit,Urban2D,-0.09803181703353284,-0.13452739615178796,-0.05215293538941773,0.0,sum_abs_member_shap
representative18,full_fit,Urban3D,-0.024292397413526495,-0.033185466990547,-0.013408844411522743,0.0,sum_abs_member_shap
representative18,heldout_city,Climate,0.11635066052095905,0.060872108143797864,0.17022049037813247,1.0,sum_abs_member_shap
representative18,heldout_city,Surface,-0.09534549205935638,-0.1333249139881617,-0.05790038793441748,0.0,sum_abs_member_shap
representative18,heldout_city,Topography,0.10949229827147867,0.053702841380957635,0.18211055538830695,1.0,sum_abs_member_shap
representative18,heldout_city,Urban2D,-0.10663976011740081,-0.14814495725292384,-0.057416705372314365,0.0,sum_abs_member_shap
representative18,heldout_city,Urban3D,-0.02385770661568056,-0.033413211805329614,-0.01266657200212558,0.0,sum_abs_member_shap
